,p61,p62,p60,p63,p64,p65,p67
2030-03-24 00:00:00,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357
2030-03-24 01:00:00,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357
2030-03-24 02:00:00,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357,1489.8448396754357
2030-03-24 03:00:00,1493.0090087640483,1493.0090087640483,1493.0090087640483,1493.0090087640483,1493.0090087640483,1493.0090087640483,1493.0090087640483
2030-03-24 04:00:00,1587.0903029988185,1587.0903029988185,1587.0903029988185,1587.0903029988185,1587.0903029988185,1587.0903029988185,1587.0903029988185
2030-03-24 05:00:00,1746.3534804590213,1746.3534804590213,1746.3534804590213,1746.3534804590213,1746.3534804590213,1746.3534804590213,1746.3534804590213
2030-03-24 06:00:00,1722.727684597375,1722.727684597375,1722.727684597375,1722.727684597375,1722.727684597375,1722.727684597375,1722.727684597375
2030-03-24 07:00:00,1689.3984368639815,1689.3984368639815,1689.3984368639815,1689.3984368639815,1689.3984368639815,1689.3984368639815,1689.3984368639815
2030-03-24 08:00:00,1721.4620169619297,1721.4620169619297,1721.4620169619297,1721.4620169619297,1721.4620169619297,1721.4620169619297,1721.4620169619297
2030-03-24 09:00:00,1721.4620169619297,1721.4620169619297,1721.4620169619297,1721.4620169619297,1721.4620169619297,1721.4620169619297,1721.4620169619297
2030-03-24 10:00:00,1715.133678784703,1715.133678784703,1715.133678784703,1715.133678784703,1715.133678784703,1715.133678784703,1715.133678784703
2030-03-24 11:00:00,1710.0710082429232,1710.0710082429232,1710.0710082429232,1710.0710082429232,1710.0710082429232,1710.0710082429232,1710.0710082429232
2030-03-24 12:00:00,1737.9156962227178,1737.9156962227178,1737.9156962227178,1737.9156962227178,1737.9156962227178,1737.9156962227178,1737.9156962227178
2030-03-24 13:00:00,1722.727684597375,1722.727684597375,1722.727684597375,1722.727684597375,1722.727684597375,1722.727684597375,1722.727684597375
2030-03-24 14:00:00,1744.8768682176687,1744.8768682176687,1744.8768682176687,1744.8768682176687,1744.8768682176687,1744.8768682176687,1744.8768682176687
2030-03-24 15:00:00,1747.8300927003738,1747.8300927003738,1747.8300927003738,1747.8300927003738,1747.8300927003738,1747.8300927003738,1747.8300927003738
2030-03-24 16:00:00,1746.3534804590213,1746.3534804590213,1746.3534804590213,1746.3534804590213,1746.3534804590213,1746.3534804590213,1746.3534804590213
