,p61,p62,p60,p63,p64,p65,p67
2030-03-24 00:00:00,24.109968729645573,0.0,0.0,5e-324,5e-324,0.0,5e-324
2030-03-24 01:00:00,10.102770781815082,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 02:00:00,2.7305613355884475,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 03:00:00,111.43526850085897,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 04:00:00,112.7997263097821,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 05:00:00,273.5783381281356,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 06:00:00,248.1084590281983,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 07:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 08:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 09:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 10:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 11:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 12:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 13:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 14:00:00,1.3644578089242714,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 15:00:00,1.819277078567211,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 16:00:00,1.5918674437457412,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 17:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 18:00:00,248.1084590281983,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 19:00:00,239.9217121746472,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 20:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2030-03-24 21:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
