,p61,p62,p60,p63,p64,p65,p67
2030-03-24 00:00:00,1619.8130169273202,1619.8130169273202,1619.8130169273202,1619.8130169273202,1619.8130169273202,1619.8130169273202,1619.8130169273202
2030-03-24 01:00:00,1605.8058189794897,1605.8058189794897,1605.8058189794897,1605.8058189794897,1605.8058189794897,1605.8058189794897,1605.8058189794897
2030-03-24 02:00:00,1598.433609533263,1598.433609533263,1598.433609533263,1598.433609533263,1598.433609533263,1598.433609533263,1598.433609533263
2030-03-24 03:00:00,1707.1383166985336,1707.1383166985336,1707.1383166985336,1707.1383166985336,1707.1383166985336,1707.1383166985336,1707.1383166985336
2030-03-24 04:00:00,1708.5027745074567,1708.5027745074567,1708.5027745074567,1708.5027745074567,1708.5027745074567,1708.5027745074567,1708.5027745074567
2030-03-24 05:00:00,1869.2813863258102,1869.2813863258102,1869.2813863258102,1869.2813863258102,1869.2813863258102,1869.2813863258102,1869.2813863258102
2030-03-24 06:00:00,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873
2030-03-24 07:00:00,1827.4380135187707,1827.4380135187707,1827.4380135187707,1827.4380135187707,1827.4380135187707,1827.4380135187707,1827.4380135187707
2030-03-24 08:00:00,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873
2030-03-24 09:00:00,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873
2030-03-24 10:00:00,1842.447049416948,1842.447049416948,1842.447049416948,1842.447049416948,1842.447049416948,1842.447049416948,1842.447049416948
2030-03-24 11:00:00,1842.447049416948,1842.447049416948,1842.447049416948,1842.447049416948,1842.447049416948,1842.447049416948,1842.447049416948
2030-03-24 12:00:00,1846.5404228437221,1846.5404228437221,1846.5404228437221,1846.5404228437221,1846.5404228437221,1846.5404228437221,1846.5404228437221
2030-03-24 13:00:00,1866.0976514383192,1866.0976514383192,1866.0976514383192,1866.0976514383192,1866.0976514383192,1866.0976514383192,1866.0976514383192
2030-03-24 14:00:00,1870.6458441347345,1870.6458441347345,1870.6458441347345,1870.6458441347345,1870.6458441347345,1870.6458441347345,1870.6458441347345
2030-03-24 15:00:00,1871.1006634043774,1871.1006634043774,1871.1006634043774,1871.1006634043774,1871.1006634043774,1871.1006634043774,1871.1006634043774
2030-03-24 16:00:00,1870.873253769556,1870.873253769556,1870.873253769556,1870.873253769556,1870.873253769556,1870.873253769556,1870.873253769556
2030-03-24 17:00:00,1869.2813863258102,1869.2813863258102,1869.2813863258102,1869.2813863258102,1869.2813863258102,1869.2813863258102,1869.2813863258102
2030-03-24 18:00:00,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873,1843.811507225873
2030-03-24 19:00:00,1835.6247603723218,1835.6247603723218,1835.6247603723218,1835.6247603723218,1835.6247603723218,1835.6247603723218,1835.6247603723218
2030-03-24 20:00:00,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258
2030-03-24 21:00:00,1780.8190383804933,1780.8190383804933,1780.8190383804933,1780.8190383804933,1780.8190383804933,1780.8190383804933,1780.8190383804933
2030-03-24 22:00:00,1693.7211482441016,1693.7211482441016,1693.7211482441016,1693.7211482441016,1693.7211482441016,1693.7211482441016,1693.7211482441016
2030-03-24 23:00:00,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675
2030-03-25 00:00:00,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675
2030-03-25 01:00:00,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675
2030-03-25 02:00:00,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675
2030-03-25 03:00:00,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675
2030-03-25 04:00:00,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675,1595.703048197675
2030-03-25 05:00:00,1708.734731580911,1708.734731580911,1708.734731580911,1708.734731580911,1708.734731580911,1708.734731580911,1708.734731580911
2030-03-25 06:00:00,1776.725664953718,1776.725664953718,1776.725664953718,1776.725664953718,1776.725664953718,1776.725664953718,1776.725664953718
2030-03-25 07:00:00,1806.2889174804302,1806.2889174804302,1806.2889174804302,1806.2889174804302,1806.2889174804302,1806.2889174804302,1806.2889174804302
2030-03-25 08:00:00,1803.7874114974006,1803.7874114974006,1803.7874114974006,1803.7874114974006,1803.7874114974006,1803.7874114974006,1803.7874114974006
2030-03-25 09:00:00,1803.7874114974006,1803.7874114974006,1803.7874114974006,1803.7874114974006,1803.7874114974006,1803.7874114974006,1803.7874114974006
2030-03-25 10:00:00,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258
2030-03-25 11:00:00,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258,1803.56000186258
2030-03-25 12:00:00,1803.5600018625792,1803.5600018625792,1803.5600018625792,1803.5600018625792,1803.5600018625792,1803.5600018625792,1803.5600018625792
