,p61,p62,p60,p63,p64,p65,p67
2030-03-24 00:00:00,24.109968729645573,0.0,29.570751223197476,0.0,0.0,0.0,0.0
2030-03-24 01:00:00,10.102770781815082,0.0,15.563553275367212,5e-324,0.0,5e-324,0.0
2030-03-24 02:00:00,2.7305613355884475,0.0,8.19134382914035,5e-324,0.0,5e-324,0.0
2030-03-24 03:00:00,111.43526850085897,0.0,0.0,5e-324,0.0,5e-324,0.0
2030-03-24 04:00:00,112.7997263097821,0.0,0.0,5e-324,0.0,5e-324,0.0
2030-03-24 05:00:00,273.5783381281356,8.641566123193229,0.0,5e-324,0.0,5e-324,0.0
2030-03-24 06:00:00,248.1084590281983,0.0,5e-324,5e-324,0.0,5e-324,0.0
2030-03-24 07:00:00,5e-324,0.0,5e-324,5e-324,0.0,5e-324,0.0
2030-03-24 08:00:00,5e-324,0.0,5e-324,5e-324,0.0,5e-324,0.0
2030-03-24 09:00:00,5e-324,0.0,5e-324,5e-324,0.0,5e-324,0.0
2030-03-24 10:00:00,5e-324,0.0,5e-324,5e-324,0.0,5e-324,0.0
2030-03-24 11:00:00,5e-324,0.0,5e-324,5e-324,0.0,5e-324,0.0
2030-03-24 12:00:00,5e-324,0.0,5e-324,5e-324,5e-324,5e-324,0.0
2030-03-24 13:00:00,5e-324,0.0,5e-324,5e-324,5e-324,5e-324,0.0
2030-03-24 14:00:00,1.3644578089242714,0.0,5e-324,5e-324,5e-324,5e-324,0.0
2030-03-24 15:00:00,1.819277078567211,0.0,0.2274096348214698,5e-324,5e-324,5e-324,0.0
2030-03-24 16:00:00,1.5918674437457412,0.0,5e-324,5e-324,5e-324,5e-324,0.0
2030-03-24 17:00:00,0.0,0.0,5e-324,5e-324,5e-324,0.0,0.0
2030-03-24 18:00:00,248.1084590281983,0.0,5e-324,5e-324,0.0,0.0,0.0
2030-03-24 19:00:00,239.9217121746472,0.0,0.0,5e-324,0.0,0.0,0.0
2030-03-24 20:00:00,5e-324,0.0,213.31773615845736,5e-324,0.0,5e-324,0.0
2030-03-24 21:00:00,5e-324,0.0,309.44982913601007,5e-324,0.0,5e-324,0.0
2030-03-24 22:00:00,5e-324,0.0,160.50184847131095,5e-324,0.0,5e-324,0.0
2030-03-24 23:00:00,5e-324,0.0,62.4837484248842,2.8421709430404007e-13,0.0,2.8421709430404007e-13,0.0
2030-03-25 00:00:00,5e-324,0.0,62.4837484248842,2.8421709430404007e-13,0.0,2.8421709430404007e-13,0.0
2030-03-25 01:00:00,5e-324,0.0,62.4837484248842,2.8421709430404007e-13,0.0,5e-324,0.0
2030-03-25 02:00:00,5e-324,0.0,62.4837484248842,2.8421709430404007e-13,0.0,2.8421709430404007e-13,0.0
2030-03-25 03:00:00,5e-324,0.0,62.4837484248842,2.8421709430404007e-13,0.0,2.8421709430404007e-13,0.0
2030-03-25 04:00:00,5e-324,0.0,62.4837484248842,5e-324,0.0,2.8421709430404007e-13,0.0
