,p60,p61,p62,p63,p64,p65,p67
2030-01-01 00:00:00,-4779.6947965548625,-1947.4836360738739,-614.915619795383,10602.836839706564,4037.5721340000014,5579.875651421428,7513.4409879999985
2030-01-01 01:00:00,-4311.641110589837,-1892.0791641756266,-599.6985040868036,10571.141550532235,3963.823709,5412.628810230403,7376.225326000002
2030-01-01 02:00:00,-3675.1465587728385,-1687.3193905016897,-538.1833438275861,10621.551557561665,3878.317935,5135.55903466657,7217.091218
2030-01-01 03:00:00,-2892.0490616707793,-1286.6259043751938,-451.09289967183304,10806.412295371012,3828.11462,4861.5547676631,7123.681837
2030-01-01 04:00:00,-2179.0147575723313,-767.4513763588651,-285.84964461048776,11098.615497077379,3830.831705,4566.015228825198,7128.719579000001
2030-01-01 05:00:00,-1724.723947682518,-397.6375702321171,-81.79257494424155,11378.553019614837,3896.2553840000014,3529.0197186260416,7250.478851000002
2030-01-01 06:00:00,-1613.6478547257082,-287.98149932581543,11.865249646573602,11709.399569305742,4023.12027,3198.888396465435,7486.562309999998
2030-01-01 07:00:00,-1534.0563701399087,-391.56344949066784,21.840266059701435,11908.818177927375,4119.10689,3820.9739803705456,7665.1711
2030-01-01 08:00:00,-940.4669457934621,-310.5207820865252,162.95770033919217,12450.420196239316,4238.734813937156,4292.764414180309,7902.5741
2030-01-01 09:00:00,-391.0167574102594,-387.7328173454237,99.32663309521558,13025.523058393208,4343.5529114916135,4295.531528665161,8116.939499999998
2030-01-01 10:00:00,-531.3746354329915,-827.4251511540174,-59.26748711172252,13022.689340737079,4376.4938059275055,4547.225002589869,8188.2202
2030-01-01 11:00:00,-288.98812763183054,-602.9181953668166,96.5794157885158,13122.190111520087,4368.4493617095095,4760.62720016905,8177.004699999998
2030-01-01 12:00:00,-113.70907727288568,-331.36432030906917,247.8172750934076,13136.13493981588,4343.345496946487,4901.826225616634,8130.0016
2030-01-01 13:00:00,-82.64454218083614,-149.3697293663841,331.101682726917,12994.649021579486,4284.3563759433855,4961.927776240933,8015.9905
2030-01-01 14:00:00,-77.07239676398547,20.08132582243013,392.0763711100726,12774.037350516523,4213.407196813402,4993.193360527163,7874.383000000002
2030-01-01 15:00:00,-52.72841098265843,169.53583638992438,432.27442792165135,12650.782887668025,4182.660834006012,5056.173966042608,7804.4952
2030-01-01 16:00:00,-100.4642571490146,322.27920283839296,465.1355693690166,12704.015983561367,4210.4399309446335,5219.345644688833,7842.7297
2030-01-01 17:00:00,-409.11912523553684,433.35316786230464,487.15494861277006,13492.50701437856,4485.43753,5811.901064023135,8346.8809
2030-01-01 18:00:00,-487.01028901392607,393.30810890774046,470.7539185869373,14785.22612232129,4923.64752,6471.8684046992685,9162.3291
2030-01-01 19:00:00,-473.43544134999,333.2490355738354,445.84312115558396,14957.207205287592,4989.0528,6558.355820931034,9284.034
2030-01-01 20:00:00,-593.842849517661,301.52996376083377,438.4450535879515,14904.555112350705,4982.677470000001,6628.154310798303,9272.1771
2030-01-01 21:00:00,-562.5342813633238,313.1881697668575,457.5836406061752,14754.472557798566,4940.538979999998,6661.356210887747,9193.7685
