,p60,p61,p62,p63,p65,p64,p67
2030-03-24 00:00:00,2175.612159146741,1193.5835326999427,655.8945840507746,570.4064267620445,745.3726358238608,0,0
2030-03-24 01:00:00,1989.4993072871118,1234.5974237948658,636.9256128281355,439.3597100540996,504.2481419648975,0,0
2030-03-24 02:00:00,1782.4882236941714,1286.4485496342181,598.5771681427956,340.39555914402007,332.3135840006173,0,0
2030-03-24 03:00:00,1549.2752758704123,1234.8539153009651,531.2108760107309,254.10920922979713,267.1128512996715,0,0
2030-03-24 04:00:00,1305.9465692687781,1131.375250211358,460.3809409968555,194.17137648025528,264.5175733786076,0,0
2030-03-24 05:00:00,1050.6002043377607,1012.918609598279,402.4023357834667,176.54191507697104,224.21259214896708,0,0
2030-03-24 06:00:00,855.846572829783,895.7818502083421,350.2223112780601,173.0545870870352,165.65993010867388,0,0
2030-03-24 07:00:00,619.3087140940129,567.651099496521,230.94722970351577,124.16502285040916,107.44896986484528,0,0
2030-03-24 08:00:00,224.88515791976823,223.3795505883172,116.20292707569897,20.829538688389583,51.330333389993754,0,0
2030-03-24 09:00:00,76.72715098317713,210.30411355332473,120.85598479621112,9.634232521057129,68.49672218626365,0,0
2030-03-24 10:00:00,81.02263653464615,275.99357152134183,157.37925305888058,29.053836421109736,75.28084625974297,0,0
2030-03-24 11:00:00,79.43655695929192,231.47133144643158,155.8717555012554,41.32185516431928,65.16688077034196,0,0
2030-03-24 12:00:00,106.75231210552155,133.59531235545873,102.14160913228989,35.6236978574656,96.50870147012174,0,0
2030-03-24 13:00:00,146.7847557478584,81.80284030279145,63.02993328422308,41.39470282755792,137.7326112486422,0,0
2030-03-24 14:00:00,187.12750492077322,49.53160402178764,38.45372993201018,43.59458308371831,210.3967820936814,0,0
2030-03-24 15:00:00,259.2394883543253,37.38993292115629,27.039680267870427,40.002615912165496,317.3479634579271,0,0
2030-03-24 16:00:00,300.8369044806808,35.47287878021598,25.929022380709647,34.913073322176935,461.4945867172908,0,0
2030-03-24 17:00:00,362.7201052322984,96.33159967139363,60.01221649646759,66.01902755759656,701.8752038104459,0,0
2030-03-24 18:00:00,607.5599368101393,484.31993275210266,291.13109334520993,301.6188475266099,1051.1469739086929,0,0
2030-03-24 19:00:00,1350.7295373631641,1234.6870807439086,707.6008356496692,759.4669620558619,1397.5550382226706,0,0
2030-03-24 20:00:00,2220.803013009299,1870.9620132267473,940.0103005856275,1146.7046715825795,1590.910271526873,0,0
2030-03-24 21:00:00,2886.369185111206,2168.9231088280676,996.3297702312469,1308.3449132591486,1653.014942407608,0,0
2030-03-24 22:00:00,2992.323797616735,2206.7392556130885,995.003844422102,1315.7119023144246,1496.0037942916156,0,0
2030-03-24 23:00:00,2926.6990286618466,2228.0795534312724,990.7169073104858,1267.2936574459075,1203.7962799906732,0,0
2030-03-25 00:00:00,2866.818893055245,2241.86059384346,987.8664519488811,1211.5125687509774,865.3503185078501,0,0
2030-03-25 01:00:00,2741.2124492369594,2191.110090012569,971.4809225142002,1151.1835361599922,534.2247816573829,0,0
2030-03-25 02:00:00,2435.8000317907517,2016.518969107792,898.5901812285185,1104.1579763501882,338.50451523289087,0,0
2030-03-25 03:00:00,2113.322299799882,1752.8474605603144,758.2885506600142,1048.6124741345645,234.8794511700049,0,0
2030-03-25 04:00:00,2019.2349099772052,1614.7171055949293,670.7566718667746,997.0219900399446,197.2996620367281,0,0
2030-03-25 05:00:00,1935.350293130614,1477.0389111310242,579.2604356199503,948.1457315027715,172.81303483247757,0,0
2030-03-25 06:00:00,1813.8032192409041,1346.0129186660051,496.5908832199872,899.9978033900261,162.23966100625694,0,0
2030-03-25 07:00:00,1163.3533931091429,903.2981033600867,321.4404155768454,686.447048368305,150.15666092652828,0,0
2030-03-25 08:00:00,639.0763058759272,674.3359705753624,280.35098845660684,396.80255671553317,188.6288299601525,0,0
2030-03-25 09:00:00,1007.9569983243942,923.3709624387324,358.91141148209573,443.2761461757123,271.9162303604186,0,0
2030-03-25 10:00:00,1777.1671529263258,1136.922301285714,423.0286197649315,705.2644199956208,320.71026102132157,0,0
