,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
0,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p61,,,,,,,,,,,Coal Steam CCSp61
1,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p61,,,,,,,,,,,Combined Cyclep61
2,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p61,,,,,,,,,,,Combined Cycle CCSp61
3,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5587224.335,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6381663463155712,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.427380518111386,0,0.0,1,1,p61,,,,,,,,,,,Nuclearp61
4,Battery Storage,atb,Storage,Energy Storage,storage,100,0.0,709047.8844999999,17.72619711,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.85,400.0,0.0,100.0,0.0,Battery,0.0,6000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p61,,,,,,,,,,,Battery Storagep61
5,Hydrogen,hydrogen,,Energy Storage,storage,500,0.0,1058000.0,0.0,0.0,Yes,0.0,0.0,0.0,15,0.0,,,0.49,1440000.0,0.0,500.0,160.0,Hydrogen,0.0,30000.0,0.0,0.0,0.0,0.0,0,0.0,1,1,p61,,,,,,,,,,,Hydrogenp61
6,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-117.48338460600739,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-117.48338460600739,0,-0.0,0,0,p61,,,,,,,,,,,DACp61
7,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,6207057.034,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.7494556002769337,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.831936200039493,1,0.0,1,1,p62,,,,,,,,,,,Coal Steam CCSp62
8,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,919564.0051,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.419101677638398,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,24.699700659427013,1,0.0,1,1,p62,,,,,,,,,,,Combined Cyclep62
9,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1733397.55,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.419101677638398,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,31.630937182180638,1,0.0,1,1,p62,,,,,,,,,,,Combined Cycle CCSp62
