,p61,p62,p60,p63,p64,p65,p67
2050-02-14 00:00:00,1215.034415,872.356042,510.66809000000006,16791.5999,5505.6072,7877.125370000002,10245.30637
2050-02-14 01:00:00,1182.706329,849.1455300000001,497.08171,16344.82829,5359.11966,7667.5389099999975,9972.71126
2050-02-14 02:00:00,1175.238754,843.7841390000002,493.942941,16241.6349,5325.28209,7619.1296900000025,9909.73653
2050-02-14 03:00:00,1181.182137,848.0522480000002,496.43923,16323.75195,5352.2155600000015,7657.65149,9959.84763
2050-02-14 04:00:00,1219.410928,875.499419,512.507214,16852.09276,5525.43733,7905.505090000002,10282.2081
2050-02-14 05:00:00,1328.273786,953.659051,558.261713,18356.5529,6018.72888,8611.261989999999,11200.13753
2050-02-14 06:00:00,1509.99193,1084.1265720000001,634.636792,20867.8831,6842.12991,9789.3529,12732.4047
2050-02-14 07:00:00,1548.47922,1111.76027,650.813167,21399.781000000006,7016.529,10038.87327,13056.941
2050-02-14 08:00:00,1493.0199300000004,1071.9415099999999,627.502697,20633.3205,6765.22521,9679.32173,12589.3039
2050-02-14 09:00:00,1458.40745,1047.08945,612.954846,20154.9674,6608.3887,9454.92362,12297.4329
2050-02-14 10:00:00,1428.61929,1025.70351,600.436371,19743.3146,6473.41769,9261.81249,12046.2679
2050-02-14 11:00:00,1392.17366,999.53695,585.118686,19239.6494,6308.2742,9025.5275,11738.9547
2050-02-14 12:00:00,1349.02188,968.5556,566.980955,18643.2976,6112.73441,8745.7852,11375.1062
2050-02-14 13:00:00,1322.8062699999996,949.73324,555.9642220000002,18280.9851,5993.951,8575.8014,11154.0325
2050-02-14 14:00:00,1302.83878,935.3979300000001,547.571521,18005.0514,5903.48418,8446.3703,10985.6791
2050-02-14 15:00:00,1292.94539,928.29342,543.413528,17868.3252,5858.64907,8382.235999999999,10902.2463
2050-02-14 16:00:00,1287.9934,924.73935,541.331534,17799.872199999998,5836.2038200000015,8350.1168,10860.4927
2050-02-14 17:00:00,1297.66446,931.68304,545.396969,17933.542,5880.03125,8412.830899999999,10942.0455
2050-02-14 18:00:00,1373.63331,986.22611,577.326269,18983.424,6224.257479999998,8905.3301,11582.6187
2050-02-14 19:00:00,1400.44634,1005.4763800000001,588.595096,19353.9676,6345.75994,9079.1617,11808.703
2050-02-14 20:00:00,1383.30072,993.16626,581.388259,19117.0095,6268.05783,8967.998029999999,11664.1244
2050-02-14 21:00:00,1331.94894,956.296817,559.805929,18407.3354,6035.38234,8635.09558,11231.13688
2050-02-14 22:00:00,1242.94695,892.396474,522.398338,17177.3357,5632.09134,8058.084379999998,10480.6539
2050-02-14 23:00:00,1145.973552,822.7738429999998,481.642545,15837.1744,5192.68715,7429.388059999998,9662.96706
2050-02-15 00:00:00,1076.696966,773.0343019999998,452.52721900000006,14879.8042,4878.7747,6980.28385,9078.82166
2050-02-15 01:00:00,1040.798012,747.261137,437.438551,14383.6852,4716.10876,6747.539209999999,8776.11534
2050-02-15 02:00:00,1019.300982,731.8256809999998,428.402698,14086.5902,4618.69698,6608.16131,8594.84994
2050-02-15 03:00:00,1017.609567,730.612177,427.692451,14063.2363,4611.036,6597.2075,8580.59615
2050-02-15 04:00:00,1042.804206,748.6995820000002,438.28095700000006,14411.40007,4725.19751,6760.54468,8793.03306
2050-02-15 05:00:00,1132.351536,812.993915,475.916401,15648.935,5130.95025,7341.08918,9548.10622
2050-02-15 06:00:00,1294.16893,929.17348,543.928509,17885.2521,5864.19196,8390.1664,10912.5784
2050-02-15 07:00:00,1349.87966,969.17206,567.343099,18655.1617,6116.635520000002,8751.331059999999,11382.3384
2050-02-15 08:00:00,1332.29295,956.54426,559.9515150000002,18412.0896,6036.93295,8637.30528,11234.027
2050-02-15 09:00:00,1341.0723,962.84754,563.641096,18533.4307,6076.7204,8694.229080000001,11308.0658
2050-02-15 10:00:00,1362.71476,978.38522,572.736387,18832.5079,6174.78148,8834.53406,11490.5497
2050-02-15 11:00:00,1366.83725,981.34567,574.4680139999998,18889.4864,6193.4698899999985,8861.2652,11525.3141
2050-02-15 12:00:00,1360.35248,976.69024,571.7443139999998,18799.8809,6164.06963,8819.218499999999,11470.6295
2050-02-15 13:00:00,1360.53367,976.82024,571.819717,18802.3685,6164.897410000001,8820.3917,11472.157
2050-02-15 14:00:00,1351.41962,970.2778,567.989754,18676.4447,6123.60911,8761.32,11395.3223
2050-02-15 15:00:00,1343.55401,964.62926,564.683411,18567.7116,6087.9514899999995,8710.3187,11328.9683
2050-02-15 16:00:00,1338.13315,960.73728,562.405157,18492.8004,6063.39581,8675.1822,11283.2815
2050-02-15 17:00:00,1333.44941,957.37458,560.436831,18428.0726,6042.17311,8644.8103,11243.7742
2050-02-15 18:00:00,1395.54341,1001.95549,586.534799,19286.2084,6323.5458899999985,9047.3724,11767.367
2050-02-15 19:00:00,1417.0810900000001,1017.42013,595.586079,19583.8499,6421.134370000002,9187.0039,11948.9767
2050-02-15 20:00:00,1389.45343,997.58529,583.9749400000002,19202.0614,6295.94856,9007.890379999999,11716.0268
2050-02-15 21:00:00,1329.56006,954.582234,558.803013,18374.3287,6024.56205,8619.607899999999,11210.98761
2050-02-15 22:00:00,1235.49118,887.0432699999999,519.2665450000002,17074.3045,5598.30105,8009.734259999998,10417.77675
2050-02-15 23:00:00,1129.922912,811.249624,474.896255,15615.3654,5119.950370000001,7325.34368,9527.62935
2050-05-23 00:00:00,1065.244043,1014.7796529999999,473.074882,17988.91577,5020.1543200000015,7550.366129999998,11649.91822
2050-05-23 01:00:00,1012.728678,964.753092,449.75342300000005,17102.09616,4772.67922,7178.14882,11075.59445
2050-05-23 02:00:00,979.689685,933.278318,435.080922,16544.15269,4616.9655,6943.98077,10714.26845
2050-05-23 03:00:00,975.302435,929.0990400000001,433.131735,16470.04701,4596.291490000001,6912.8682,10666.27734
2050-05-23 04:00:00,1024.165979,975.647729,454.832396,17295.1981,4826.56808,7259.20997,11200.66494
2050-05-23 05:00:00,1114.901553,1062.085611,495.127816,18827.4909,5254.17498,7902.34178,12192.9973
2050-05-23 06:00:00,1164.4601,1109.29457,517.1374400000002,19664.3744,5487.7226,8253.6087,12734.9855
2050-05-23 07:00:00,1220.13226,1162.33176,541.8606599999998,20604.5309,5750.0862,8648.2018,13343.8254
2050-05-23 08:00:00,1302.22427,1240.53385,578.31915,21990.8444,6136.98,9230.0796,14241.6311
2050-05-23 09:00:00,1397.54586,1331.34051,620.65039,23600.5388,6586.1853,9905.7104,15284.1273
2050-05-23 10:00:00,1496.01999,1425.14867,664.38287,25263.4653,7050.265,10603.686000000003,16361.0471
2050-05-23 11:00:00,1598.22828,1522.51515,709.7738499999997,26989.4864,7531.9385,11328.1279,17478.8438
2050-05-23 12:00:00,1698.4768399999996,1618.0163599999996,754.2952,28682.3949,8004.385999999998,12038.6942,18575.2051
2050-05-23 13:00:00,1779.2462799999994,1694.95575,790.1628,30046.3275,8385.0046,12611.1558,19458.5057
2050-05-23 14:00:00,1847.00991,1759.51149,820.25775,31190.7032,8704.3686,13091.4745,20199.613
2050-05-23 15:00:00,1885.92268,1796.58145,837.5384,31847.8016,8887.7492,13367.2905,20625.1768
2050-05-23 16:00:00,1877.04489,1788.12475,833.59644,31697.9021,8845.9126,13304.3739,20528.1109
2050-05-23 17:00:00,1823.8111,1737.40967,809.9548679999998,30798.9105,8595.036189999999,12927.0345,19945.8938
2050-05-23 18:00:00,1747.9401899999998,1665.1336,776.260447,29517.6866,8237.47689,12389.2733,19116.1361
2050-05-23 19:00:00,1696.1291,1615.776761,753.2508019999998,28642.7404,7993.31228,12022.03638,18549.5148
2050-05-23 20:00:00,1635.129249,1557.668125,726.162537,27612.6527,7705.8425,11589.68009,17882.4106
2050-05-23 21:00:00,1487.8734880000004,1417.388393,660.7657730000002,25125.8908,7011.86388,10545.938320000001,16271.94114
2050-05-23 22:00:00,1325.3360249999996,1262.550861,588.5814730000002,22381.11429,6245.87751,9393.88505,14494.38322
2050-05-23 23:00:00,1198.496505,1141.7211550000004,532.253224,20239.18014,5648.1446700000015,8494.87586,13107.23597
2050-05-24 00:00:00,1116.2371890000004,1063.35733,495.72135099999997,18850.044680000006,5260.4704200000015,7911.80717,12207.59789
2050-05-24 01:00:00,1063.137834,1012.773369,472.140957,17953.35759,5010.2341,7535.451540000001,11626.8933
2050-05-24 02:00:00,1028.14371,979.4371789999999,456.598668,17362.395419999993,4845.31617,7287.41625,11244.17652
