,windlat27.0lon-97.5p65,windlat27.5lon-98.125p65,windlat28.0lon-99.375p65,windlat28.5lon-98.75p65,windlat29.0lon-100.625p65,windlat29.0lon-98.125p65,solarlat26.5lon-98.75p65,solarlat27.0lon-98.75p65,solarlat27.5lon-98.75p65,solarlat28.0lon-99.375p65,solarlat28.5lon-98.75p65,solarlat29.0lon-100.625p65,solarlat29.0lon-98.125p65,windlat29.0lon-95.625p67,windlat29.5lon-95.625p67,solarlat29.0lon-95.625p67,solarlat29.5lon-95.625p67,windlat29.5lon-103.125p61,windlat29.5lon-100.625p61,windlat30.0lon-104.375p61,windlat30.0lon-101.875p61,windlat30.5lon-103.75p61,windlat30.5lon-101.25p61,windlat31.0lon-103.75p61,windlat31.0lon-101.25p61,windlat31.5lon-104.375p61,windlat31.5lon-99.375p61,windlat32.0lon-100.625p61,windlat32.5lon-99.375p61,solarlat29.5lon-103.125p61,solarlat29.5lon-100.625p61,solarlat30.0lon-104.375p61,solarlat30.0lon-101.875p61,solarlat30.5lon-103.75p61,solarlat30.5lon-101.25p61,solarlat31.0lon-103.75p61,solarlat31.0lon-101.25p61,solarlat31.5lon-104.375p61,solarlat31.5lon-99.375p61,solarlat32.0lon-100.625p61,solarlat32.5lon-99.375p61,windlat29.5lon-98.125p64,windlat30.0lon-99.375p64,windlat30.0lon-96.875p64,windlat30.5lon-98.75p64,windlat30.5lon-96.25p64,solarlat29.5lon-98.125p64,solarlat30.0lon-99.375p64,solarlat30.0lon-96.875p64,solarlat30.5lon-98.75p64,solarlat30.5lon-96.25p64,windlat31.0lon-98.75p63,windlat31.0lon-96.25p63,windlat31.5lon-96.875p63,windlat32.0lon-98.125p63,windlat32.0lon-95.625p63,windlat32.5lon-96.875p63,windlat33.0lon-98.125p63,windlat33.0lon-95.625p63,windlat33.5lon-96.25p63,solarlat31.0lon-98.75p63,solarlat31.0lon-96.25p63,solarlat31.5lon-96.875p63,solarlat32.0lon-98.125p63,solarlat32.0lon-95.625p63,solarlat32.5lon-96.875p63,solarlat33.0lon-98.125p63,solarlat33.0lon-95.625p63,solarlat33.5lon-95.625p63,windlat31.5lon-101.875p62,windlat32.0lon-103.125p62,windlat32.5lon-101.875p62,solarlat31.5lon-101.875p62,solarlat32.0lon-103.125p62,solarlat32.5lon-101.875p62,windlat33.0lon-100.625p60,windlat33.5lon-99.375p60,windlat34.0lon-99.375p60,windlat34.5lon-101.25p60,solarlat33.0lon-100.625p60,solarlat33.5lon-99.375p60
2050-02-14 00:00:00,0.0,0.020957144,0.2275781,0.24838427,0.13863671,0.3664489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43197948,0.09893567,0.0,0.0,0.04635829,0.0,0.04872605,0.06784217,0.22573118,0.1471462,0.0,0.3457181,0.18623868,0.3499957,0.26089928,0.35878268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54011756,0.0,0.6266679,0.0,0.25478268,0.0,0.0,0.0,0.0,0.0,0.14448208,0.034417808,0.06777645,0.35935703,0.072865486,0.4689511,0.42021906,0.47965106,0.22531529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21749525,0.21429567,0.13036336,0.0,0.0,0.0,0.15043093,0.0947897,0.0,0.0,0.0,0.0
2050-02-14 01:00:00,0.0,0.02279387,0.15289325,0.22378778,0.093164034,0.40650415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46967173,0.05123915,0.0,0.0,0.048786033,0.0,0.026308907,0.05678232,0.16151571,0.16237958,0.0,0.3760848,0.26076207,0.41799405,0.27190888,0.28983048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3916613,0.0,0.48090288,0.0,0.19467966,0.0,0.0,0.0,0.0,0.0,0.1507254,0.011057481,0.10960288,0.44088674,0.09266251,0.5044987,0.3144335,0.4510064,0.17292836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22168674,0.2927712,0.14021806,0.0,0.0,0.0,0.107639104,0.053944357,0.0,0.015709663,0.0,0.0
2050-02-14 02:00:00,0.0,0.028084476,0.1136396,0.22524743,0.048316583,0.3890868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39759427,0.021610789,0.0,0.0,0.047359392,0.0,0.015855445,0.056711897,0.12071579,0.18249124,0.0,0.37380227,0.32908067,0.44831163,0.2688189,0.23223846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30753493,0.0,0.3638923,0.0,0.15653141,0.0,0.0,0.0,0.0,0.0,0.15054074,0.0,0.11806551,0.47784832,0.08496361,0.50844413,0.21224794,0.42365,0.1501823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18403019,0.39099798,0.18126069,0.0,0.0,0.0,0.09522466,0.02840712,0.0,0.0,0.0,0.0
2050-02-14 03:00:00,0.0,0.042290386,0.084585875,0.20178632,0.00026586564,0.30706784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30926767,0.0,0.0,0.0,0.043705195,0.0,0.01940262,0.058517586,0.13355386,0.19199345,0.0,0.36034825,0.37688568,0.4131507,0.23125276,0.17242752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21567132,0.0,0.23348089,0.0,0.09104881,0.0,0.0,0.0,0.0,0.0,0.14252676,0.0,0.09121854,0.46470994,0.039804216,0.49054158,0.13465056,0.39778307,0.121061474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326658,0.4486628,0.2139448,0.0,0.0,0.0,0.086527094,0.0034647475,0.0,0.0,0.0,0.0
2050-02-14 04:00:00,0.0,0.048973307,0.04864023,0.14332512,0.0,0.2290503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23242542,0.0,0.0,0.0,0.02769013,0.0,0.006872356,0.049259994,0.17046428,0.18791522,0.0,0.3768208,0.4104568,0.35815325,0.17864388,0.11324523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11719088,0.0,0.12541103,0.0,0.037172392,0.0,0.0,0.0,0.0,0.0,0.1371636,0.0,0.056579683,0.43568546,0.0,0.470831,0.06987527,0.37497827,0.080950014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08438989,0.4621627,0.22849987,0.0,0.0,0.0,0.089516625,0.0,0.0,0.0,0.0,0.0
2050-02-14 05:00:00,0.0,0.03935921,0.027021231,0.0961706,0.0,0.29400656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18073794,0.0,0.0,0.0,0.0,0.0,0.0,0.029598502,0.20138848,0.1761425,0.0,0.39453015,0.43587226,0.30387765,0.12780413,0.06946374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054994144,0.0,0.06045335,0.0,0.0067010997,0.0,0.0,0.0,0.0,0.0,0.11241321,0.0,0.03788091,0.39573243,0.0,0.4466268,0.016212549,0.36467186,0.035310764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051338434,0.43791398,0.21886712,0.0,0.0,0.0,0.10042148,0.015288866,0.0,0.0,0.0,0.0
2050-02-14 06:00:00,0.0,0.023530252,0.029098855,0.09280328,0.0,0.48508474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14382167,0.0,0.0,0.0,0.0,0.0,0.01896473,0.0,0.23488113,0.14916086,0.0,0.3728906,0.430279,0.24761322,0.10494294,0.052598592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027951544,0.009326238,0.033475067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07306109,0.0,0.0150590995,0.33854514,0.0,0.4171254,0.0,0.3582098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043474685,0.40134937,0.1969694,0.0,0.0,0.0,0.11046164,0.040465914,0.0,0.0,0.0,0.0
2050-02-14 07:00:00,0.0,0.023542896,0.05243668,0.12270128,0.0,0.6596218,0.029443795,0.026255168,0.014665944,0.00379867,0.002048438,0.06956526,0.0,0.13335477,0.0,0.009558485,0.0039806813,0.0,0.0,0.06041105,0.0,0.24862088,0.100623526,0.0,0.32868832,0.39574894,0.17026591,0.106805295,0.06488694,0.0,0.03312882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024318278,0.0,0.0020774568,0.017974855,0.01405297,0.026965585,0.0,0.0,0.1684749,0.06839802,0.17313696,0.072242685,0.08667641,0.02394285,0.0,0.0,0.26295504,0.0,0.3766443,0.0,0.34028828,0.0,0.04845966,0.021651763,0.03713965,0.03545786,0.014917182,0.037183467,0.010109573,0.038477823,0.018860461,0.043872535,0.36187863,0.18698,0.0,0.0,0.0,0.13333003,0.08096159,0.0,0.0,0.0,0.0
2050-02-14 08:00:00,0.0,0.028210193,0.055744313,0.113950156,0.0,0.6299095,0.32390705,0.32394463,0.30158663,0.27811673,0.2932716,0.40014574,0.290221,0.10549696,0.0033216327,0.32979596,0.31585124,0.0,0.0,0.05437031,0.0,0.14502555,0.020898547,0.0,0.1620359,0.29059908,0.03639317,0.072529204,0.055929538,0.35245308,0.37298954,0.27648288,0.34990785,0.31109187,0.34608695,0.28917125,0.32747573,0.26738995,0.33043942,0.29265225,0.29791424,0.019374434,0.0,0.027655503,0.0,0.0,0.42735758,0.36914936,0.41778243,0.35850716,0.33124852,0.0,0.0,0.0,0.079658635,0.0,0.17187715,0.0,0.18323521,0.0,0.34812495,0.16388771,0.29030988,0.33870298,0.15600498,0.34361863,0.30169606,0.34744534,0.33549646,0.016484046,0.24053474,0.123317555,0.29784527,0.25487265,0.2546124,0.1131024,0.11198482,0.0,0.0,0.25643894,0.25898433
2050-02-14 09:00:00,0.0,0.0444527,0.20138729,0.41136062,0.0,0.81489867,0.5908998,0.59147286,0.57508296,0.55845785,0.5489125,0.59173787,0.558126,0.11089585,0.050974682,0.56265515,0.54886246,0.0,0.0,0.09605543,0.0,0.16753063,0.0,0.0,0.100260325,0.16301663,0.0,0.0,0.0,0.56176895,0.56745684,0.52262884,0.5625864,0.5393452,0.56190723,0.5190648,0.5446965,0.5121626,0.5583094,0.5421649,0.55713934,0.015371298,0.0,0.019443106,0.0,0.0,0.6184408,0.57756555,0.6306119,0.5750873,0.6208891,0.0,0.0,0.0,0.0,0.0,0.041827615,0.0,0.063681036,0.0,0.5683612,0.18511109,0.52523065,0.5761177,0.27401388,0.5971191,0.5784371,0.61176336,0.5756141,0.0,0.056669816,0.0,0.5329825,0.50529855,0.5147636,0.020205919,0.04930981,0.0,0.0,0.5376814,0.5580392
