,p61,p62,p60,p63,p64,p65,p67
2050-02-02 00:00:00,1049.0527550000004,753.1876139999997,440.90787300000005,14497.7606,4753.51706,6801.07,8845.71906
2050-02-02 01:00:00,1010.019544,725.163001,424.50242099999997,13958.3233,4576.63687,6548.01253,8516.5868
2050-02-02 02:00:00,991.051178,711.544482,416.530186,13696.1801,4490.688490000001,6425.023120000002,8356.657790000001
2050-02-02 03:00:00,991.778803,712.065891,416.83557,13706.2405,4493.9807,6429.74888,8362.77563
2050-02-02 04:00:00,1019.878378,732.2414200000002,428.645044,14094.57889,4621.31523,6611.9225,8599.7196
2050-02-02 05:00:00,1109.514688,796.596589,466.319891,15333.3478,5027.47552,7193.034180000002,9355.53945
2050-02-02 06:00:00,1281.53191,920.09926,538.6163889999998,17710.578999999998,5806.931360000001,8308.2367,10806.0092
2050-02-02 07:00:00,1342.21795,963.67096,564.121817,18549.2537,6081.91172,8701.66593,11317.7198
2050-02-02 08:00:00,1324.24657,950.76694,556.569033,18300.8923,6000.470270000002,8585.14957,11166.1921
2050-02-02 09:00:00,1329.36961,954.44648,558.722443,18371.699,6023.68938,8618.363229999999,11209.392
2050-02-02 10:00:00,1336.8514300000004,959.81709,561.866573,18475.0806,6057.58866,8666.8634,11272.4659
2050-02-02 11:00:00,1341.19152,962.93389,563.690909,18535.0786,6077.26505,8695.0094,11309.0606
2050-02-02 12:00:00,1335.32898,958.72383,561.22633,18454.0659,6050.69679,8657.0008,11259.637
2050-02-02 13:00:00,1337.25459,960.10794,562.036522,18480.6862,6059.42829,8669.496,11275.8746
2050-02-02 14:00:00,1328.12893,953.55597,558.200453,18354.5572,6018.0681,8610.3261,11198.9151
2050-02-02 15:00:00,1326.02598,952.04585,557.316955,18325.5014,6008.53312,8596.690999999999,11181.1997
2050-02-02 16:00:00,1324.64309,951.0527099999999,556.735195,18306.3767,6002.26871,8587.7274,11169.5291
2050-02-02 17:00:00,1341.74159,963.32833,563.9218860000002,18542.6978,6079.74787,8698.5714,11313.7105
2050-02-02 18:00:00,1411.3929999999998,1013.33645,593.1958030000002,19505.2454,6395.35453,9150.1299,11901.0046
2050-02-02 19:00:00,1414.47803,1015.55129,594.491721,19547.8857,6409.33508,9170.1276,11927.0333
2050-02-02 20:00:00,1387.79401,996.391745,583.2767729999998,19179.1002,6288.42047,8997.13335,11702.0196
2050-02-02 21:00:00,1326.4505199999999,952.3498609999999,557.4947589999998,18331.3569,6010.46986,8599.44212,11184.76338
2050-02-02 22:00:00,1231.977485,884.5201460000003,517.789037,17025.7291,5582.382479999998,7986.9588399999975,10388.15038
2050-02-02 23:00:00,1127.157968,809.264711,473.733941,15577.1697,5107.43016,7307.416639999998,9504.32801
2050-02-03 00:00:00,1054.106248,756.815461,443.03114800000003,14567.5997,4776.4126,6833.822190000001,8888.33177
2050-02-03 01:00:00,1013.427729,727.609954,425.934706,14005.4221,4592.08314,6570.09494,8545.32541
2050-02-03 02:00:00,991.945375,712.185187,416.905172,13708.547,4494.73953,6430.83161,8364.183790000001
2050-02-03 03:00:00,985.517588,707.570558,414.203455,13619.7086,4465.60701,6389.16777,8309.991109999999
2050-02-03 04:00:00,1005.410791,721.8538589999997,422.565651,13894.64084,4555.74623,6518.126740000002,8477.73495
2050-02-03 05:00:00,1079.363551,774.949842,453.647212,14916.6499,4890.8625,6997.57142,9101.30161
2050-02-03 06:00:00,1231.4115800000004,884.1148300000001,517.552061,17017.9294,5579.81667,7983.29572,10383.3955
2050-02-03 07:00:00,1302.90216,935.44252,547.598386,18005.9032,5903.75266,8446.76814,10986.2108
2050-02-03 08:00:00,1294.38919,929.33141,544.0202099999998,17888.2717,5865.1865,8391.58316,10914.4244
2050-02-03 09:00:00,1320.61811,948.1627,555.0429889999998,18250.739,5984.02832,8561.63436,11135.5942
2050-02-03 10:00:00,1350.6414,969.71805,567.661752,18665.668,6120.0825,8756.27378,11388.7408
2050-02-03 11:00:00,1365.06732,980.07481,573.724926,18865.042,6185.44115,8849.7933,11510.3919
2050-02-03 12:00:00,1369.22264,983.05899,575.472489,18922.4589,6204.27614,8876.738800000001,11545.4344
2050-02-03 13:00:00,1373.63382,986.22569,577.3255359999997,18983.4142,6224.2716,8905.3311,11582.6176
2050-02-03 14:00:00,1366.6830699999996,981.23541,574.404489,18887.3707,6192.7633700000015,8860.2736,11524.0179
2050-02-03 15:00:00,1355.97561,973.54769,569.9042410000002,18739.3889,6144.24917,8790.8533,11433.7231
2050-02-03 16:00:00,1346.8353,966.9852,566.062284,18613.0664,6102.83837,8731.5933,11356.6505
2050-02-03 17:00:00,1343.72866,964.75519,564.756808,18570.1243,6088.75209,8711.4593,11330.4592
2050-02-03 18:00:00,1396.09801,1002.35471,586.767734,19293.8867,6326.04728,9050.9679,11772.0512
2050-02-03 19:00:00,1385.02246,994.40284,582.113038,19140.8024,6275.87682,8979.164700000001,11678.6541
2050-02-03 20:00:00,1351.33836,970.220157,567.955638,18675.3294,6123.24183,8760.804110000001,11394.6326
