,windlat27.0lon-97.5p65,windlat27.5lon-98.125p65,windlat28.0lon-99.375p65,windlat28.5lon-98.75p65,windlat29.0lon-100.625p65,windlat29.0lon-98.125p65,solarlat26.5lon-98.75p65,solarlat27.0lon-98.75p65,solarlat27.5lon-98.75p65,solarlat28.0lon-99.375p65,solarlat28.5lon-98.75p65,solarlat29.0lon-100.625p65,solarlat29.0lon-98.125p65,windlat29.0lon-95.625p67,windlat29.5lon-95.625p67,solarlat29.0lon-95.625p67,solarlat29.5lon-95.625p67,windlat29.5lon-103.125p61,windlat29.5lon-100.625p61,windlat30.0lon-104.375p61,windlat30.0lon-101.875p61,windlat30.5lon-103.75p61,windlat30.5lon-101.25p61,windlat31.0lon-103.75p61,windlat31.0lon-101.25p61,windlat31.5lon-104.375p61,windlat31.5lon-99.375p61,windlat32.0lon-100.625p61,windlat32.5lon-99.375p61,solarlat29.5lon-103.125p61,solarlat29.5lon-100.625p61,solarlat30.0lon-104.375p61,solarlat30.0lon-101.875p61,solarlat30.5lon-103.75p61,solarlat30.5lon-101.25p61,solarlat31.0lon-103.75p61,solarlat31.0lon-101.25p61,solarlat31.5lon-104.375p61,solarlat31.5lon-99.375p61,solarlat32.0lon-100.625p61,solarlat32.5lon-99.375p61,windlat29.5lon-98.125p64,windlat30.0lon-99.375p64,windlat30.0lon-96.875p64,windlat30.5lon-98.75p64,windlat30.5lon-96.25p64,solarlat29.5lon-98.125p64,solarlat30.0lon-99.375p64,solarlat30.0lon-96.875p64,solarlat30.5lon-98.75p64,solarlat30.5lon-96.25p64,windlat31.0lon-98.75p63,windlat31.0lon-96.25p63,windlat31.5lon-96.875p63,windlat32.0lon-98.125p63,windlat32.0lon-95.625p63,windlat32.5lon-96.875p63,windlat33.0lon-98.125p63,windlat33.0lon-95.625p63,windlat33.5lon-96.25p63,solarlat31.0lon-98.75p63,solarlat31.0lon-96.25p63,solarlat31.5lon-96.875p63,solarlat32.0lon-98.125p63,solarlat32.0lon-95.625p63,solarlat32.5lon-96.875p63,solarlat33.0lon-98.125p63,solarlat33.0lon-95.625p63,solarlat33.5lon-95.625p63,windlat31.5lon-101.875p62,windlat32.0lon-103.125p62,windlat32.5lon-101.875p62,solarlat31.5lon-101.875p62,solarlat32.0lon-103.125p62,solarlat32.5lon-101.875p62,windlat33.0lon-100.625p60,windlat33.5lon-99.375p60,windlat34.0lon-99.375p60,windlat34.5lon-101.25p60,solarlat33.0lon-100.625p60,solarlat33.5lon-99.375p60
2050-02-02 00:00:00,0.0,0.49974647,0.0,0.05097648,0.027093422,0.099327594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517838,0.045471743,0.0,0.0,0.09358131,0.036500707,0.18550186,0.018908601,0.4978913,0.0,0.2083601,0.060048025,0.39204305,0.07016535,0.12584634,0.09611196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08702804,0.050874997,0.063479975,0.0,0.013567911,0.0,0.0,0.0,0.0,0.0,0.0,0.00037848603,0.0,0.072733946,0.0,0.039542895,0.094080746,0.02752415,0.16767862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18374844,0.21861295,0.22943549,0.0,0.0,0.0,0.3041334,0.36498353,0.0,0.037832834,0.0,0.0
2050-02-02 01:00:00,0.0,0.4076361,0.004362888,0.04867487,0.012270979,0.11213476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39741674,0.044657763,0.0,0.0,0.054087795,0.018053181,0.17246304,0.0,0.4744572,0.0,0.17499357,0.044389185,0.4604517,0.047731757,0.19342427,0.16347411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062054425,0.037668247,0.032389775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053430013,0.0,0.03175468,0.14364421,0.02301039,0.16816948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2504112,0.22342621,0.225791,0.0,0.0,0.0,0.34114602,0.40952158,0.0,0.028750354,0.0,0.0
2050-02-02 02:00:00,0.0,0.31642872,0.0,0.03785237,0.0,0.14270975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43360543,0.041811477,0.0,0.0,0.025758248,0.0,0.15017462,0.0,0.43162104,0.0,0.12634368,0.03367807,0.53025824,0.033521134,0.2524412,0.20926957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03451549,0.020620234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043098517,0.0,0.027489554,0.1757406,0.02318119,0.16249292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016192,0.22366592,0.17833875,0.0,0.0,0.0,0.30475205,0.3754688,0.0,0.021937218,0.0,0.0
2050-02-02 03:00:00,0.0,0.25017697,0.0,0.03477907,0.0,0.18693002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46199927,0.035737924,0.0,0.0,0.0,0.0,0.13290255,0.0,0.38757023,0.0,0.098846465,0.02686929,0.590251,0.025826778,0.29855487,0.24998882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001780265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037943978,0.0,0.026493398,0.20802923,0.026349813,0.17485492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33830097,0.20957138,0.12871818,0.0,0.0,0.0,0.2732402,0.36145982,0.0,0.02525297,0.0,0.0
2050-02-02 04:00:00,0.0,0.18978031,0.0,0.03939857,0.0,0.25588056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48945707,0.029340604,0.0,0.0,0.0,0.0,0.12491168,0.0,0.35181332,0.0,0.09120451,0.02570174,0.6118503,0.022112878,0.3346455,0.26471287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038860004,0.0,0.030307006,0.20212816,0.03193481,0.17588113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35514936,0.18430316,0.10095761,0.0,0.0,0.0,0.26763156,0.38377947,0.0,0.028512519,0.0,0.0
2050-02-02 05:00:00,0.0,0.14002053,0.0,0.053540867,0.0,0.33390287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178844,0.030532673,0.0,0.0,0.0,0.0,0.12425378,0.0,0.3383286,0.0,0.08498158,0.032219965,0.60147774,0.022740938,0.33852267,0.24911255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04388401,0.0,0.038700297,0.16177085,0.038723163,0.1511825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34525645,0.13848202,0.077648565,0.0,0.0,0.0,0.2711264,0.4110992,0.0,0.040628478,0.0,0.0
2050-02-02 06:00:00,0.0,0.08782602,0.013858837,0.09392869,0.0,0.41945073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5676433,0.040271223,0.0,0.0,0.0,0.0,0.14743714,0.0,0.34475127,0.0,0.07777594,0.058543064,0.5976645,0.029644707,0.32165352,0.22932775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521172,0.0,0.046124928,0.13363971,0.04040843,0.11206643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32178313,0.09642305,0.06948169,0.0,0.0,0.0,0.30363908,0.47651228,0.0,0.053553298,0.0,0.0
2050-02-02 07:00:00,0.0,0.052335024,0.055634722,0.18521169,0.0,0.5372354,0.0075369263,0.0038798137,0.0,0.0,0.0,0.0,0.0,0.60703903,0.051672533,0.0,0.0,0.0,0.0,0.18532747,0.0,0.3470505,0.0,0.07672657,0.10385774,0.5974209,0.04281518,0.3063407,0.2202799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017349435,0.0,0.017101785,0.0,0.0,0.023168439,0.0,0.053933874,0.0,0.04736658,0.0,0.0,0.026260199,0.062712,0.054699283,0.04972423,0.120595485,0.03700966,0.06345205,0.0,0.02864007,0.010913529,0.0,0.023258615,0.0,0.0,0.0056105442,0.0,0.3014497,0.06927768,0.08776379,0.0,0.0,0.0,0.3836232,0.55234593,0.0,0.05059453,0.0,0.0
2050-02-02 08:00:00,0.0,0.028802635,0.09272084,0.301733,0.0013628379,0.5942807,0.27732304,0.25702485,0.25663236,0.16510716,0.17326741,0.23695028,0.16528481,0.5101231,0.05683674,0.23223889,0.15678068,0.0,0.043777473,0.15871985,0.0,0.2495229,0.0,0.06365793,0.09034693,0.5043417,0.027244715,0.19762266,0.1526822,0.22677334,0.24988522,0.17948869,0.22700532,0.17788425,0.20243447,0.17753871,0.21080975,0.16512275,0.25431037,0.16188034,0.17560662,0.038204048,0.023463879,0.03553179,0.0,0.018215183,0.3193765,0.27910432,0.33529502,0.2791697,0.31398624,0.0,0.0,0.043618172,0.03384042,0.0711109,0.028831584,0.08824326,0.017050318,0.026448041,0.26453912,0.2795667,0.2993482,0.2864672,0.31528467,0.2930867,0.17470524,0.28590333,0.21022812,0.20260105,0.03940372,0.07839257,0.1691527,0.16517586,0.1861104,0.31507996,0.4395685,0.0,0.026924679,0.18563287,0.17298974
2050-02-02 09:00:00,0.0,0.04602038,0.04454455,0.1779723,0.039042458,0.38327938,0.54472804,0.5476434,0.49700132,0.3021598,0.34542108,0.40528578,0.3374072,0.30050328,0.019047137,0.37016478,0.29629478,0.03167201,0.075379394,0.15675676,0.0,0.23417187,0.0,0.05213625,0.06071874,0.3581228,0.0018416306,0.12524462,0.07861127,0.45303634,0.49336684,0.34905604,0.42576,0.35200158,0.39934507,0.39137524,0.44025812,0.39306283,0.46636733,0.34064686,0.312144,0.06617323,0.053723138,0.056561865,0.0,0.03430971,0.49988064,0.5236198,0.5339677,0.5123132,0.5045816,0.0,0.0,0.046214968,0.0,0.06394164,0.0,0.04310777,0.0,0.0,0.503377,0.4830388,0.55475116,0.5090314,0.5687508,0.5483611,0.31300664,0.55210257,0.36208937,0.14035933,0.0,0.04045826,0.3655873,0.3975258,0.42686445,0.17897485,0.28263324,0.0,0.039677348,0.4314606,0.35486507
