,p60,p61,p62,p63,p65,p64,p67
2050-02-02 00:00:00,1367.398173237592,526.0960865780711,289.565808185935,308.5265558831394,384.54044415652754,0,0
2050-02-02 01:00:00,1528.3513592101635,673.1800163507462,343.1448179095984,375.08593443073335,272.99246386289593,0,0
2050-02-02 02:00:00,1506.0324046388268,788.9679417476058,386.397310462594,395.80453336574135,207.25341083183886,0,0
2050-02-02 03:00:00,1549.477697765082,897.1939993645996,417.3889477238059,404.6324883628636,189.87791921645405,0,0
2050-02-02 04:00:00,1675.3633939106019,963.0040884882211,431.71808693856,414.9332077357918,183.31305112391712,0,0
2050-02-02 05:00:00,1776.9662672698496,957.9651997298002,425.21257149130105,413.0596289496869,168.93589763920752,0,0
2050-02-02 06:00:00,1936.466444402188,934.4550065502524,420.4582287929952,433.3200971174985,163.36407905817032,0,0
2050-02-02 07:00:00,2138.148769108206,912.4365323726088,420.9561336643994,476.46980874836447,161.01511722058058,0,0
2050-02-02 08:00:00,1661.4223220508545,615.7557101694866,296.2377304568887,366.85647734552623,151.05241580158471,0,0
2050-02-02 09:00:00,1029.6464845582846,438.2491515889764,217.35040062814952,212.01376995790633,268.0990545609966,0,0
2050-02-02 10:00:00,2052.9359109610323,874.9660886496306,493.38053472861645,457.1591725368053,710.6173592716456,0,0
2050-02-02 11:00:00,4291.7151661731305,2140.7412611998616,1017.2459344506264,1127.604268400371,868.9397207379342,0,0
2050-02-02 12:00:00,4819.313777761907,2542.2518095746636,1135.4199866473675,1427.34793035388,886.6075299680233,0,0
2050-02-02 13:00:00,4917.626641407236,2660.3151422739024,1163.9770324975252,1543.069362911582,898.2698435112835,0,0
2050-02-02 14:00:00,4960.7606831222765,2671.960082258284,1153.4045673191547,1587.331131607294,908.4444039471447,0,0
2050-02-02 15:00:00,4948.493201353402,2625.749499595165,1118.3445169568063,1551.393322312832,920.3575697638095,0,0
2050-02-02 16:00:00,4720.679967789723,2365.6823913455014,959.1943931341171,1399.2514209717513,1005.7127301201224,0,0
2050-02-02 17:00:00,4265.59468029216,2112.201524186134,814.9425405055284,1310.0750191390514,1277.795890663564,0,0
2050-02-02 18:00:00,3835.8024919189506,2195.2928986966613,876.2806872196495,1456.1276738643644,1819.027747359872,0,0
2050-02-02 19:00:00,3512.329475970566,2291.4255154550083,919.0598761472851,1453.3771495342255,1789.119520653784,0,0
2050-02-02 20:00:00,3346.4323136072608,2403.833165663481,991.1843064486981,1395.648985505104,1677.262838809192,0,0
2050-02-02 21:00:00,3380.122651336156,2491.400893115997,1040.9207628011704,1327.9828075319529,1501.2990600734947,0,0
2050-02-02 22:00:00,3409.010438904911,2591.185778868198,1106.845272116363,1281.6905584365131,1241.4872255042196,0,0
2050-02-02 23:00:00,3133.3135040231045,2651.3887717902653,1119.7536894261837,1285.357078486681,990.2823869265616,0,0
2050-02-03 00:00:00,3334.9835127413276,2723.714758896828,1144.9014585494995,1321.2706741333009,799.1128512240946,0,0
2050-02-03 01:00:00,3511.68619942076,2747.4695242434736,1166.5901046395302,1344.428200212121,724.2399463243784,0,0
2050-02-03 02:00:00,3569.4874364733696,2614.852774658799,1129.5755707383155,1260.4204148381948,815.685848236084,0,0
2050-02-03 03:00:00,3517.7116151478144,2656.59594424963,1137.87987819314,1186.2938631802797,827.4284224182368,0,0
2050-02-03 04:00:00,3191.0990415841343,2575.1582075357437,1119.8152401149273,1190.9386682428421,852.225215838477,0,0
2050-02-03 05:00:00,2743.0812292873857,2242.567218765616,1040.5390285402536,1218.619458105415,829.9670186869799,0,0
2050-02-03 06:00:00,2339.9574810367076,1803.429404643178,919.4515002191067,1179.1241033151746,807.4351929567754,0,0
2050-02-03 07:00:00,2161.561114256829,1611.9306711286306,822.8520547270775,1031.1584863349794,767.1131075294687,0,0
2050-02-03 08:00:00,1661.5765104521065,1338.4333908230067,624.653072860837,797.4271733537316,563.0763719953596,0,0
2050-02-03 09:00:00,1114.087592583895,1466.338726605475,685.388021671772,767.0221072647721,546.9286396570038,0,0
2050-02-03 10:00:00,1742.0343887357042,1369.3857001230122,589.7578375004232,1034.255984863639,405.36493034064773,0,0
2050-02-03 11:00:00,2308.160625051707,1342.3523458570241,461.39557334631684,1227.5924380779265,228.7488616861403,0,0
2050-02-03 12:00:00,2347.9767225585874,1299.6610029652716,382.6670917078853,1228.5081908315422,116.42345870593563,0,0
2050-02-03 13:00:00,2272.321841425449,1225.1263390362267,327.826992072165,1179.5645298838615,59.646734999492764,0,0
2050-02-03 14:00:00,2041.7341020356864,1164.1474335309117,289.351675722003,1078.1460436895488,30.57866707034409,0,0
2050-02-03 15:00:00,1608.9986526262014,960.4683623492716,219.9585875697434,903.887210597843,22.4410775328055,0,0
2050-02-03 16:00:00,1229.5905084200785,668.3304052565246,128.4707151427865,689.7544339932502,27.93131027445197,0,0
2050-02-03 17:00:00,1115.691891734302,537.179587116465,124.43206516355275,567.78035046421,102.21890489757061,0,0
2050-02-03 18:00:00,1753.532529069204,863.5983076639474,274.8067697033286,879.0767626827583,259.80412628818306,0,0
2050-02-03 19:00:00,2950.3275164184156,1683.4421337917447,553.0837817579508,1267.0387056171894,333.2687897323631,0,0
2050-02-03 20:00:00,3651.4775636069476,2312.276556327939,827.9958341777325,1379.987848353386,334.265867837891,0,0
2050-02-03 21:00:00,3824.4296965919434,2407.2695060610777,948.4465524166823,1351.8815369009972,277.7315368104726,0,0
2050-02-03 22:00:00,3714.1107226133345,2316.857853497565,985.017607191205,1294.5153924271465,223.5866085667163,0,0
2050-02-03 23:00:00,3539.829442483187,2165.839882069826,1010.592919138074,1264.6477738559247,193.3090320367366,0,0
2050-02-04 00:00:00,3189.984575688932,1985.373443597555,964.9665315270424,1171.4362210094928,164.10295393243433,0,0
2050-02-04 01:00:00,2937.217059037835,1872.956471580267,916.6032818436622,1064.0748320549726,144.4389412097633,0,0
2050-02-04 02:00:00,2712.581489574164,1713.055318146944,838.7116072222591,1024.4294118762016,150.36058745547197,0,0
2050-02-04 03:00:00,2417.1355058439076,1576.107342785597,803.0783820897341,1033.561148366332,176.91910630464554,0,0
2050-02-04 04:00:00,2308.56204461623,1648.6252005696297,784.1975722368807,1104.314146861434,186.35180070102214,0,0
2050-02-04 05:00:00,2475.824381802604,1733.2698946163057,776.5824942585081,1175.985312706232,250.88807247802615,0,0
2050-02-04 06:00:00,2411.9378141528923,1558.3960943490267,691.4471411179751,1132.6830672860146,545.0395193763077,0,0
2050-02-04 07:00:00,2314.7212662927805,1385.9973955422643,605.205644146353,1059.2887633889914,847.9550049424171,0,0
2050-02-04 08:00:00,3160.206213941425,2071.478035602719,855.3960702508688,1509.3192431896925,1035.6909397050738,0,0
2050-02-04 09:00:00,4050.6801136730237,2325.4256836138666,993.7317112654448,1654.9229922533034,1344.1975623570381,0,0
2050-02-04 10:00:00,3793.3641880928544,2201.325194783509,942.7309964358807,1598.8746936798095,1399.0532785184682,0,0
2050-02-04 11:00:00,2872.196179686859,1857.2294042479248,791.4504281818867,1384.2914593070745,1212.7454503528772,0,0
2050-02-04 12:00:00,1803.076546547562,1374.2201764665544,597.5077719695867,1056.935013577342,1007.8889996197074,0,0
2050-02-04 13:00:00,1232.9769364267586,1068.4521493263544,484.79907875433565,784.0277010902762,874.4882042488083,0,0
2050-02-04 14:00:00,1094.9219558611512,986.8507822424174,458.92287727668884,659.0338810756803,822.2003138683737,0,0
2050-02-04 15:00:00,1263.7136646680535,1119.3796869814396,516.5788941249251,703.8008954331278,885.8990336894989,0,0
2050-02-04 16:00:00,1353.177509795502,1273.6064114242795,584.2497190073133,791.7749640241265,985.6871053367853,0,0
2050-02-04 17:00:00,1512.5808539770544,1191.1938354998827,540.8542036734522,726.504144026339,1058.1855247203262,0,0
2050-02-04 18:00:00,2152.1941910028454,1221.0033298969267,492.6165914662182,778.6989167779684,1153.8351669669153,0,0
2050-02-04 19:00:00,2999.7202549889685,1454.4288650482895,556.9298343032599,933.9225530087948,1237.6151738286019,0,0
2050-02-04 20:00:00,3595.5793441109367,1529.321668240428,615.4709274351596,963.8048363581299,1134.9904861718417,0,0
2050-02-04 21:00:00,3471.6305619165305,1368.125022226572,604.7031733900309,905.3581672728062,985.809092861414,0,0
2050-02-04 22:00:00,3122.0616049587725,1200.2319444924594,492.5921422332525,756.4682772099972,852.2903058413416,0,0
2050-02-04 23:00:00,2648.4105486102403,1093.4565872251987,435.1723676234484,601.9757705390454,835.8298228229862,0,0
2050-02-05 00:00:00,2201.7433751218023,989.7365787625313,412.293559756875,524.1621048197151,924.2355635553598,0,0
2050-02-05 01:00:00,1617.1526057854294,893.7947549477219,411.3581265643239,483.85540338456633,834.3681112371386,0,0
2050-02-05 02:00:00,1282.9736845619975,923.1569401741028,453.17384709119796,425.46191377341745,681.8900407008827,0,0
2050-02-05 03:00:00,1291.266555260867,1073.5591236695648,483.4500628530979,430.61010809987783,573.3484233088791,0,0
2050-02-05 04:00:00,1418.8630376264455,1210.084132885933,497.0365465246141,524.9137279734016,558.4520020775498,0,0
2050-02-05 05:00:00,1450.6617401815954,1208.279368555546,481.87006801851095,587.0502660021186,619.3026261098682,0,0
2050-02-05 06:00:00,1351.9097278971226,1160.6138978451488,462.3901777388528,594.8507035925985,716.5942280896007,0,0
2050-02-05 07:00:00,1190.9184576354921,1100.0417655736208,439.3726580142975,565.6321213841438,829.7876205839216,0,0
