,p60,p61,p62,p63,p65,p64,p67
2050-01-01 00:00:00,5154.196570254862,2838.536512073874,1254.662648895383,1711.371560293436,196.85782057857142,0,0
2050-01-01 01:00:00,4679.302114389837,2766.8581921756263,1227.7621948868036,1518.167589467764,258.60022676959636,0,0
2050-01-01 02:00:00,4034.8764138728384,2543.22594050169,1152.697287227586,1206.9567224383354,413.31857533343134,0,0
2050-01-01 03:00:00,3247.1233089707794,2131.453793375194,1057.653654671833,868.9920346289873,615.4978163369,0,0
2050-01-01 04:00:00,2534.3402263723315,1612.8778903588652,892.8392045104877,585.0571629226208,914.9170001748017,0,0
2050-01-01 05:00:00,2086.118138882518,1257.502964232117,699.1497192442417,504.6684403851628,2045.535639373958,0,0
2050-01-01 06:00:00,1986.809121725708,1175.8459203258155,625.5928683534264,560.7438306942582,2557.179493534565,0,0
2050-01-01 07:00:00,1916.1205451399087,1300.6094794906678,630.8266139402986,654.0733220726252,2072.4214196294547,0,0
2050-01-01 08:00:00,1299.326946690492,1056.1151941493156,475.0940457291901,496.40222360640763,1758.948186947405,0,0
2050-01-01 09:00:00,696.483720682934,960.3618392556906,515.5037214584648,268.2904417322949,1910.2676406383516,0,0
2050-01-01 10:00:00,800.3037125506672,1252.6549778491258,648.4778972426429,384.73470828626307,1686.510520747304,0,0
2050-01-01 11:00:00,540.7422425068916,964.6445164829493,479.7120424754918,265.68158082515004,1426.1704076811673,0,0
2050-01-01 12:00:00,358.1034167576116,678.4406477227807,322.6192835181952,174.56936706602573,1222.230592890084,0,0
2050-01-01 13:00:00,327.7850317021832,510.2863847825676,234.60442213136702,130.20815019032452,1069.5547936186192,0,0
2050-01-01 14:00:00,334.1163663626183,415.74166087629277,179.16381085258908,121.02241524904966,955.1941565744579,0,0
2050-01-01 15:00:00,335.93310156273657,397.2576781100594,160.0251296879258,133.12173277884722,873.7360885299743,0,0
2050-01-01 16:00:00,433.3364240014926,426.6915484484285,165.14660736266524,146.7031864590943,780.6362893857062,0,0
2050-01-01 17:00:00,817.8007499732078,536.5156123019756,219.32109033763408,187.66668562144042,603.0239166667685,0,0
2050-01-01 18:00:00,943.6987100139261,693.2928710922599,309.391591413063,231.43637767870968,572.6160053007304,0,0
