,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol
0,Seadrift Coke LP,10167_G_GEN1,10167,G,GEN1,,Coal Steam,,ERC_REST,Texas,48,Calhoun,57,48057,7.6,10428.0,1983.0,9999,,,Y,Petroleum Coke,,,,,,,,,,,,,0.79,0.76996,0.76996,0.76996,0.76996,1.0,1.0,1.0,0.98,,,,,,,,Petroleum Coke,10167.0,28.513929,-96.794154,,,,,,,1.848930343389776,225.1,POINT (-96.79415400000001 28.513929),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,6.0,2.6599999999999997,775.8826144953313,3.04,0.0,37800.0,4.47,23.750645620868585,1,0.0,1,1,False,False,False,False,10167+GEN1
1,Formosa Utility Venture Ltd,10554_G_BO3,10554,G,BO3,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,32.0,6487.0,1987.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,20.448,3266.8741662961315,12.8,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+BO3
2,Formosa Utility Venture Ltd,10554_G_ST1,10554,G,ST1,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,28.5,6487.0,1994.0,9999,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,18.2115,2909.5598043574923,11.4,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+ST1
3,Formosa Utility Venture Ltd,10554_G_ST2,10554,G,ST2,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,57.5,6487.0,1994.0,9999,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,36.7425,5870.164517563361,23.0,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+ST2
4,Formosa Utility Venture Ltd,10554_G_ST3,10554,G,ST3,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,47.3,6487.0,2002.0,9999,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.08253,0.08253,0.08253,0.08253,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,30.2247,4828.84837705647,18.919999999999998,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+ST3
5,Formosa Utility Venture Ltd,10554_G_TBG1,10554,G,TBG1,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,72.0,6487.0,1993.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+TBG1
6,Formosa Utility Venture Ltd,10554_G_TBG2,10554,G,TBG2,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,72.0,6487.0,1993.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+TBG2
7,Formosa Utility Venture Ltd,10554_G_TBG3,10554,G,TBG3,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,72.0,6487.0,1993.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+TBG3
8,Formosa Utility Venture Ltd,10554_G_TBG4,10554,G,TBG4,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,72.0,6487.0,1994.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+TBG4
9,Formosa Utility Venture Ltd,10554_G_TBG5,10554,G,TBG5,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,72.0,6487.0,1994.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.08253,0.08253,0.08253,0.08253,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+TBG5
10,Formosa Utility Venture Ltd,10554_G_TBG6,10554,G,TBG6,,Combined Cycle,,ERC_REST,Texas,48,Calhoun,57,48057,72.0,6487.0,2003.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.08253,0.08253,0.08253,0.08253,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,2.381000415400321,117.0,POINT (-96.54170000000001 28.6917),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,19.045549694701883,1,0.0,1,1,False,False,False,False,10554+TBG6
11,Victoria Texas Plant,10790_G_GEN1,10790,G,GEN1,,Combustion Turbine,,ERC_REST,Texas,48,Victoria,469,48469,75.0,16297.0,1987.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.34622,0.34622,0.34622,0.34622,,,,,,,,,,,,Natural Gas,10790.0,28.675088,-96.956014,,,,,,,2.381000415400321,117.0,POINT (-96.956014 28.675088),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,2.0,25.650000000000002,1914.1840818141395,30.0,0.0,7340.0,15.45,54.25316376977902,0,0.0,1,1,False,False,False,False,10790+GEN1
12,Nueces Bay,3441_G_7,3441,G,7,,Combined Cycle,,ERC_REST,Texas,48,Nueces,355,48355,319.0,7745.0,1972.0,9999,wall,,N,Natural Gas,,,,,SCR,,,,,,,,,0.01721,0.01721,0.01721,0.01721,,,,,,,,,,,,Natural Gas,3441.0,27.819412,-97.419203,,,,,,,2.381000415400321,117.0,POINT (-97.419203 27.819412),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,101.44200000000001,32566.65184526456,127.60000000000001,0.0,13170.0,3.5999999999999996,22.04084821727548,1,0.0,1,1,False,False,False,False,3441+7
13,Nueces Bay,3441_G_8,3441,G,8,90242.0,Combined Cycle,,ERC_REST,Texas,48,Nueces,355,48355,157.0,7745.0,2010.0,9999,,,N,Natural Gas,,,,DLNB + H2O + NH3,SCR,2009.0,,,,,,,0.06,0.01721,0.01721,0.01721,0.01721,,,,,,,,,,,,Natural Gas,3441.0,27.819412,-97.419203,,,,,,,2.381000415400321,117.0,POINT (-97.419203 27.819412),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.926,16028.101378390395,62.800000000000004,0.0,13170.0,3.5999999999999996,22.04084821727548,1,0.0,1,1,False,False,False,False,3441+8
14,Nueces Bay,3441_G_9,3441,G,9,90243.0,Combined Cycle,,ERC_REST,Texas,48,Nueces,355,48355,157.0,7745.0,2010.0,9999,,,N,Natural Gas,,,,DLNB + H2O + NH3,SCR,2009.0,,,,,,,0.06,0.01721,0.01721,0.01721,0.01721,,,,,,,,,,,,Natural Gas,3441.0,27.819412,-97.419203,,,,,,,2.381000415400321,117.0,POINT (-97.419203 27.819412),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.926,16028.101378390395,62.800000000000004,0.0,13170.0,3.5999999999999996,22.04084821727548,1,0.0,1,1,False,False,False,False,3441+9
15,Victoria,3443_G_5,3443,G,5,,Combined Cycle,,ERC_REST,Texas,48,Victoria,469,48469,125.0,8063.0,1963.0,9999,,,N,Natural Gas,,,,AA + DLNB + NH3,SCR,2009.0,,,,,,,0.003,0.02024,0.02024,0.02024,0.02024,,,,,,,,,,,,Natural Gas,3443.0,28.7883,-97.01,,,,,,,2.381000415400321,117.0,POINT (-97.01000000000001 28.7883),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,39.75,12761.227212094263,50.0,0.0,13170.0,3.5999999999999996,22.79800634937279,1,0.0,1,1,False,False,False,False,3443+5
16,Victoria,3443_G_7,3443,G,7,90094.0,Combined Cycle,,ERC_REST,Texas,48,Victoria,469,48469,160.0,8063.0,2009.0,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,0.003,0.02024,0.02024,0.02024,0.02024,,,,,,,,,,,,Natural Gas,3443.0,28.7883,-97.01,,,,,,,2.381000415400321,117.0,POINT (-97.01000000000001 28.7883),64,65,65,51.695295702,9.56289745704,p65,rto10,p65,4.0,50.88,16334.370831480657,64.0,0.0,13170.0,3.5999999999999996,22.79800634937279,1,0.0,1,1,False,False,False,False,3443+7
