,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
0,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,5797715.251,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.751942379046926,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.851981464976603,1,0.0,1,1,p61,,,,,,,,,,,Coal Steam CCSp61
1,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,885613.8572,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,26.1770559174747,1,0.0,1,1,p61,,,,,,,,,,,Combined Cyclep61
2,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1593716.941,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.6509190329230177,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,33.31516714892656,1,0.0,1,1,p61,,,,,,,,,,,Combined Cycle CCSp61
3,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5259362.907,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6559195578450814,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.607853351347982,0,0.0,1,1,p61,,,,,,,,,,,Nuclearp61
4,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-120.63239536047817,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-120.63239536047817,0,-0.0,1,1,p61,,,,,,,,,,,DACp61
5,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,5797715.251,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.751942379046926,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.851981464976603,1,0.0,1,1,p62,,,,,,,,,,,Coal Steam CCSp62
6,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,885613.8572,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,26.1770559174747,1,0.0,1,1,p62,,,,,,,,,,,Combined Cyclep62
7,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1593716.941,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.6509190329230177,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,33.31516714892656,1,0.0,1,1,p62,,,,,,,,,,,Combined Cycle CCSp62
8,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5259362.907,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6559195578450814,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.607853351347982,0,0.0,1,1,p62,,,,,,,,,,,Nuclearp62
9,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-120.63239536047817,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-120.63239536047817,0,-0.0,1,1,p62,,,,,,,,,,,DACp62
