,p60,p61,p62,p63,p64,p65,p67
2050-01-01 00:00:00,-5153.740044388862,-2837.4503008868737,-1253.882782576383,-1696.360268593436,4.921880460000001,-189.81585314857142,9.15904806
2050-01-01 01:00:00,-4678.853927950837,-2765.791819830626,-1226.9965729748037,-1503.430469267764,4.83199971,-251.68688395959637,8.991778340000002
2050-01-01 02:00:00,-4034.4378951848385,-2542.1825717736897,-1151.948182372586,-1192.5375159383354,4.727756170000001,-406.55435445343136,8.797782569999999
2050-01-01 03:00:00,-3246.6904665717793,-2130.423930279194,-1056.914244617833,-854.7594676289873,4.66655652,-608.8211670269,8.683908390000001
2050-01-01 04:00:00,-2533.9070767603316,-1611.8472978278653,-892.0992705764877,-570.8145190426209,4.669859499999999,-908.2356207348017,8.69005948
2050-01-01 05:00:00,-2085.677592876518,-1256.454768999117,-698.3971485352417,-490.1825427851628,4.74961183,-2038.740138213958,8.838488589999999
2050-01-01 06:00:00,-1986.3542300487081,-1174.7635957658156,-624.8157925234265,-545.7862631942583,4.904269599999999,-2550.162718034565,9.1262819
2050-01-01 07:00:00,-1915.6548005849088,-1299.5013339806678,-630.0310000902986,-638.7588911726251,5.02127815,-2065.2372485294545,9.3440023
2050-01-01 08:00:00,-1333.883081194462,-1246.5781561565252,-509.10244514080784,-485.7544782606835,-2.7666797928437976,-1775.7354268196912,9.633398
2050-01-01 09:00:00,-795.1061957562594,-1349.1831874654238,-590.9650899347844,-261.5850057067914,-13.00284228838661,-1937.6049881348392,9.8947334
2050-01-01 10:00:00,-939.0119297879914,-1797.3180387940174,-755.6205231617225,-381.07743696292096,-18.31602456249451,-1740.6344192101305,9.9816061
2050-01-01 11:00:00,-696.0673665928305,-1571.4814737868164,-598.8182341514841,-263.2379695799123,-20.344729360491105,-1518.6093291309494,9.9679226
2050-01-01 12:00:00,-518.4478002608857,-1294.361133819069,-443.5850829765924,-172.33993928412113,-20.219130943512575,-1341.3264562833663,9.910639999999999
2050-01-01 13:00:00,-481.7072438068361,-1098.862046426384,-350.603168793083,-127.1913563205148,-18.01549815661583,-1193.6785632590668,9.7716548
2050-01-01 14:00:00,-469.08522222298546,-912.6358843075699,-277.58572925992735,-115.99765478347807,-12.957031416597824,-1053.6575043728362,9.5990343
2050-01-01 15:00:00,-441.26257256665843,-754.9048342700755,-231.44526537834864,-124.8615277319745,-6.20731778398613,-937.0197875573921,9.5138422
2050-01-01 16:00:00,-490.9016788260146,-606.6898120416071,-201.8352364109834,-134.2038575386332,1.0623242146334837,-803.2080758111672,9.5604462
2050-01-01 17:00:00,-824.6546627255368,-555.3321820376954,-222.68991823723016,-170.99025842144042,5.467844449999999,-597.7972937768639,10.1750314
2050-01-01 18:00:00,-943.1419978099261,-691.96828149226,-308.440578033063,-213.13073647870968,6.002031700000002,-564.0286315007304,11.1690809
2050-01-01 19:00:00,-935.6267375789901,-766.4431514061647,-343.70181215441585,-240.3699076124079,6.08174655,-571.0015669889659,11.3174341
2050-01-01 20:00:00,-1055.4432285996609,-796.7565477291662,-350.0905492410485,-273.6052088492962,6.07397822,-492.0907447116967,11.3029753
2050-01-01 21:00:00,-1020.2314223103239,-775.8133363931423,-324.2849738908248,-295.36479340143256,6.022618820000002,-398.68501144225314,11.207400600000001
2050-01-01 22:00:00,-904.2716726440402,-736.0109287743104,-292.64064328197696,-299.6244723378218,5.84271649,-309.1861049482423,10.87261658
2050-01-01 23:00:00,-818.6724492732676,-674.3877848963677,-264.2104776816813,-264.6447180575651,5.60030767,-233.56990748211274,10.421518019999999
2050-01-02 00:00:00,-691.147694826462,-566.1205523714754,-217.42344981285353,-204.89688524933777,5.4088264,-186.624338724595,10.06519393
2050-01-02 01:00:00,-576.315287934186,-474.943074442881,-178.42381472917972,-145.40356998316318,5.3410107600000005,-171.52594871980466,9.93900392
2050-01-02 02:00:00,-471.2332248694243,-400.50632219648264,-150.60529942700794,-127.09163701917167,5.343451839999999,-182.7871738764443,9.94353319
2050-01-02 03:00:00,-412.12477284607945,-366.11070943565204,-124.19485473998486,-120.57603250880754,5.4149541,-182.93193655806493,10.07658577
2050-01-02 04:00:00,-408.5724133987775,-353.2214211007442,-117.68462711827634,-120.68467975412727,5.59165039,-199.85864633090702,10.40540516
2050-01-02 05:00:00,-434.94522025584604,-360.5230803108533,-127.59105820002235,-124.48796418941731,5.9442543799999985,-261.73721975463985,11.061560609999999
2050-01-02 06:00:00,-533.6736803224953,-380.4559277561967,-131.98094899485503,-180.0275477438163,6.4193497,-260.92468793057964,11.9456662
2050-01-02 07:00:00,-684.5025264227515,-455.9124976649496,-140.21345319413385,-269.98353926967013,6.676849239999999,-266.72668429870237,12.424820299999999
2050-01-02 08:00:00,-656.4588556635185,-656.2212200979202,-151.93994357758828,-237.3639595912931,-5.807618554937855,-284.06742066854923,12.4971745
