,windlat27.0lon-97.5p65,windlat27.5lon-98.125p65,windlat28.0lon-99.375p65,windlat28.5lon-98.75p65,windlat29.0lon-100.625p65,windlat29.0lon-98.125p65,solarlat26.5lon-98.75p65,solarlat27.0lon-98.75p65,solarlat27.5lon-98.75p65,solarlat28.0lon-99.375p65,solarlat28.5lon-98.75p65,solarlat29.0lon-100.625p65,solarlat29.0lon-98.125p65,windlat29.0lon-95.625p67,windlat29.5lon-95.625p67,solarlat29.0lon-95.625p67,solarlat29.5lon-95.625p67,windlat29.5lon-103.125p61,windlat29.5lon-100.625p61,windlat30.0lon-104.375p61,windlat30.0lon-101.875p61,windlat30.5lon-103.75p61,windlat30.5lon-101.25p61,windlat31.0lon-103.75p61,windlat31.0lon-101.25p61,windlat31.5lon-104.375p61,windlat31.5lon-99.375p61,windlat32.0lon-100.625p61,windlat32.5lon-99.375p61,solarlat29.5lon-103.125p61,solarlat29.5lon-100.625p61,solarlat30.0lon-104.375p61,solarlat30.0lon-101.875p61,solarlat30.5lon-103.75p61,solarlat30.5lon-101.25p61,solarlat31.0lon-103.75p61,solarlat31.0lon-101.25p61,solarlat31.5lon-104.375p61,solarlat31.5lon-99.375p61,solarlat32.0lon-100.625p61,solarlat32.5lon-99.375p61,windlat29.5lon-98.125p64,windlat30.0lon-99.375p64,windlat30.0lon-96.875p64,windlat30.5lon-98.75p64,windlat30.5lon-96.25p64,solarlat29.5lon-98.125p64,solarlat30.0lon-99.375p64,solarlat30.0lon-96.875p64,solarlat30.5lon-98.75p64,solarlat30.5lon-96.25p64,windlat31.0lon-98.75p63,windlat31.0lon-96.25p63,windlat31.5lon-96.875p63,windlat32.0lon-98.125p63,windlat32.0lon-95.625p63,windlat32.5lon-96.875p63,windlat33.0lon-98.125p63,windlat33.0lon-95.625p63,windlat33.5lon-96.25p63,solarlat31.0lon-98.75p63,solarlat31.0lon-96.25p63,solarlat31.5lon-96.875p63,solarlat32.0lon-98.125p63,solarlat32.0lon-95.625p63,solarlat32.5lon-96.875p63,solarlat33.0lon-98.125p63,solarlat33.0lon-95.625p63,solarlat33.5lon-95.625p63,windlat31.5lon-101.875p62,windlat32.0lon-103.125p62,windlat32.5lon-101.875p62,solarlat31.5lon-101.875p62,solarlat32.0lon-103.125p62,solarlat32.5lon-101.875p62,windlat33.0lon-100.625p60,windlat33.5lon-99.375p60,windlat34.0lon-99.375p60,windlat34.5lon-101.25p60,solarlat33.0lon-100.625p60,solarlat33.5lon-99.375p60
2050-01-13 00:00:00,0.0,0.07947815,0.018853055,0.0,0.5469136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051647536,0.0023556554,0.0,0.0,0.0,0.28836647,0.009742994,0.0,0.0,0.12462778,0.0,0.19225751,0.044689853,0.3634995,0.16909426,0.30347744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54871374,0.08134481,0.46876737,0.0,0.1848815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37045854,0.048274647,0.26219785,0.3636863,0.071253546,0.29300752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038259484,0.0,0.025161682,0.0,0.0,0.0,0.08288124,0.14745912,0.0,0.08235906,0.0,0.0
2050-01-13 01:00:00,0.0,0.05046295,0.021215444,0.0,0.53283036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618478,0.0,0.0,0.0,0.0,0.2593006,0.0,0.0,0.0,0.11786514,0.0,0.1710616,0.02904411,0.3077161,0.14279287,0.2557773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295758,0.047059134,0.45022583,0.0,0.14329025,0.0,0.0,0.0,0.0,0.0,0.017364707,0.0,0.025119511,0.3297798,0.08587175,0.29794347,0.30444035,0.15828323,0.322426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029282276,0.0,0.0,0.0,0.0,0.0,0.03718909,0.106606774,0.0,0.052499443,0.0,0.0
2050-01-13 02:00:00,0.0,0.0041693975,0.01971478,0.0,0.5716849,0.043189142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09143203,0.012839634,0.0,0.0,0.0,0.23958619,0.0,0.0,0.0,0.10963491,0.0,0.17323452,0.023664108,0.27834553,0.13437694,0.22679073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5601505,0.033735566,0.44340053,0.0,0.11177284,0.0,0.0,0.0,0.0,0.0,0.006312524,0.0,0.023813538,0.2946928,0.077757575,0.31822592,0.2632263,0.26838648,0.2951065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030216279,0.0,0.0,0.0,0.0,0.0,0.0,0.060646035,0.0,0.046989407,0.0,0.0
2050-01-13 03:00:00,0.0,0.0,0.0,0.0,0.5515534,0.076844245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11129572,0.01837805,0.0,0.0,0.0,0.201014,0.0,0.0,0.0,0.108886905,0.0,0.17375669,0.0053396323,0.25899637,0.11027672,0.19153816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374752,0.005415878,0.38920715,0.0,0.094113305,0.0,0.0,0.0,0.0,0.0,0.016460717,0.0,0.023418387,0.2716298,0.05523985,0.3098818,0.22948447,0.31585398,0.2755176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019778324,0.0,0.0,0.0,0.0,0.0,0.0,0.04581175,0.0,0.024905687,0.0,0.0
2050-01-13 04:00:00,0.0,0.0,0.0,0.0,0.49677798,0.14407307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082321316,0.0,0.0,0.0,0.0,0.18615308,0.0,0.0,0.0,0.114159554,0.0,0.16245675,0.0,0.24579136,0.081851155,0.15812248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4551035,0.0,0.2954385,0.0,0.056096885,0.0,0.0,0.0,0.0,0.0,0.02100465,0.0,0.02542614,0.25296408,0.04106204,0.3021115,0.20127138,0.3287499,0.2584677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057013173,0.0,0.0,0.0,0.0
2050-01-13 05:00:00,0.0,0.0,0.0,0.0,0.43827453,0.25879222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050125733,0.0,0.0,0.0,0.0,0.18003307,0.0,0.0,0.0,0.11375357,0.0,0.13256313,0.0,0.22800437,0.06690242,0.13977246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3803441,0.0,0.22356766,0.0,0.03917057,0.0,0.0,0.0,0.0,0.0,0.022273302,0.0,0.026165444,0.23820174,0.025294803,0.28836444,0.18758409,0.31408188,0.24767417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08397372,0.0,0.0006884091,0.0,0.0
2050-01-13 06:00:00,0.0,0.0,0.0,0.032285456,0.3872624,0.33340618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03129913,0.0,0.0,0.0,0.0,0.1864563,0.0,0.0,0.0,0.1306302,0.0,0.103050716,0.0,0.22484061,0.03898766,0.10653621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32168496,0.0,0.18267082,0.0,0.035335917,0.0,0.0,0.0,0.0,0.0,0.014304581,0.0,0.01858143,0.22715935,0.006035669,0.266715,0.16632995,0.2822666,0.2364049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08669055,0.0,0.013764147,0.0,0.0
2050-01-13 07:00:00,0.0,0.0,0.0,0.07805924,0.3399621,0.3114407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17902116,0.0,0.0,0.0,0.1488388,0.0,0.080846466,0.0,0.18734224,0.022106003,0.085552946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28461605,0.029571613,0.16096492,0.0,0.041643564,0.0,0.0,0.0,0.0,0.0,0.012269416,0.0044444776,0.0,0.1850346,0.0,0.20936203,0.15388058,0.22250842,0.23749802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008800216,0.076149166,0.0,0.0,0.0,0.0
2050-01-13 08:00:00,0.0,0.0,0.0,0.10765419,0.2874473,0.21579735,0.26602143,0.24096651,0.23831956,0.17762178,0.21115318,0.40796462,0.2249409,0.0,0.0,0.22256055,0.17552629,0.0,0.13303775,0.0,0.0,0.0,0.09125091,0.0,0.02903966,0.0,0.08372702,0.0,0.054909293,0.34265622,0.3860209,0.1847368,0.2286043,0.17220904,0.19516239,0.17205217,0.18811615,0.11151771,0.19412498,0.1719516,0.20280375,0.24992596,0.012782326,0.14434034,0.0,0.02521976,0.3950523,0.37269986,0.4090278,0.3504916,0.40234205,0.0,0.0,0.0,0.081712,0.0,0.10369373,0.12687185,0.122090615,0.20924497,0.25122994,0.3635424,0.2845315,0.17210609,0.25553194,0.20436972,0.217504,0.26969826,0.24818319,0.0,0.0,0.0,0.16604954,0.16444989,0.1744954,0.013068557,0.05545344,0.0,0.0,0.17573304,0.17581284
2050-01-13 09:00:00,0.0,0.0,0.0,0.060468633,0.22413333,0.09578856,0.53858703,0.55502456,0.52180517,0.41040152,0.47204122,0.5892175,0.4976653,0.0,0.0,0.4856516,0.46238294,0.0,0.07030854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056452686,0.49565744,0.5760174,0.42345694,0.41173932,0.4360303,0.46907446,0.43689466,0.4311306,0.45220938,0.44262886,0.49364144,0.506967,0.18212281,0.0,0.10593574,0.0,0.022005703,0.6077938,0.5639614,0.61585194,0.4959744,0.6123601,0.0,0.0,0.0,0.0,0.0,0.016612977,0.042753767,0.029352603,0.05613623,0.47535825,0.55281335,0.49713525,0.39711443,0.45172805,0.45437795,0.54065186,0.5553999,0.5731883,0.0,0.0,0.0,0.46484828,0.45083043,0.45650086,0.0,0.005504165,0.0,0.0,0.48906633,0.51732194
